idPartido;division;temporada;jornada;matchDate;LocalName;EquipoLocalId;localMarketValue;PuntosClasiLocal;GolesAFavorLocal;GolesEnContraLocal;VisitanteName;EquipoVisitanteId;visitanteMarketValue;PuntosClasiVisitante;GolesAFavorVisitante;GolesEnContraVisitante;golesLocal;golesVisitante;golDiff
1;2;2022-23;1;2022-08-12;Levante;12;-1;0;0;0;Huesca;8;-1;0;0;0;0;0;0
2;2;2022-23;1;2022-08-13;Eibar;5;-1;0;0;0;Tenerife;20;-1;0;0;0;2;1;1
3;2;2022-23;1;2022-08-13;Mirandés;15;-1;0;0;0;Sporting de Gijón;19;-1;0;0;0;1;1;0
4;2;2022-23;1;2022-08-13;Leganés;11;-1;0;0;0;Alavés;1;-1;0;0;0;1;2;-1
5;2;2022-23;1;2022-08-13;Las Palmas;10;-1;0;0;0;Zaragoza;22;-1;0;0;0;0;0;0
6;2;2022-23;1;2022-08-14;Racing de Santander;18;-1;0;0;0;Villarreal B;21;-1;0;0;0;0;2;-2
7;2;2022-23;1;2022-08-14;Ibiza;9;-1;0;0;0;Granada;7;-1;0;0;0;0;2;-2
8;2;2022-23;1;2022-08-14;Burgos CF;4;-1;0;0;0;Málaga;14;-1;0;0;0;1;0;1
9;2;2022-23;1;2022-08-15;Oviedo;16;-1;0;0;0;Andorra;3;-1;0;0;0;0;1;-1
10;2;2022-23;1;2022-08-15;Lugo;13;-1;0;0;0;Albacete;2;-1;0;0;0;1;2;-1
11;2;2022-23;1;2022-08-15;FC Cartagena;6;-1;0;0;0;Ponferradina;17;-1;0;0;0;2;3;-1
12;2;2022-23;2;2022-08-19;Villarreal B;21;-1;3;2;0;Eibar;5;-1;3;2;1;2;2;0
13;2;2022-23;2;2022-08-19;Alavés;1;-1;3;2;1;Mirandés;15;-1;1;1;1;1;0;1
14;2;2022-23;2;2022-08-20;Sporting de Gijón;19;-1;1;1;1;Andorra;3;-1;3;1;0;4;1;3
15;2;2022-23;2;2022-08-20;Albacete;2;-1;3;2;1;Burgos CF;4;-1;3;1;0;0;0;0
16;2;2022-23;2;2022-08-20;Zaragoza;22;-1;1;0;0;Levante;12;-1;1;0;0;0;0;0
17;2;2022-23;2;2022-08-20;Granada;7;-1;3;2;0;Racing de Santander;18;-1;0;0;2;2;0;2
18;2;2022-23;2;2022-08-21;Oviedo;16;-1;0;0;1;Leganés;11;-1;0;1;2;1;0;1
19;2;2022-23;2;2022-08-21;Huesca;8;-1;1;0;0;FC Cartagena;6;-1;0;2;3;2;3;-1
20;2;2022-23;2;2022-08-21;Tenerife;20;-1;0;1;2;Lugo;13;-1;0;1;2;1;1;0
21;2;2022-23;2;2022-08-22;Ponferradina;17;-1;3;3;2;Ibiza;9;-1;0;0;2;2;1;1
22;2;2022-23;2;2022-08-22;Málaga;14;-1;0;0;1;Las Palmas;10;-1;1;0;0;0;4;-4
23;2;2022-23;3;2022-08-26;Albacete;2;-1;4;2;1;Huesca;8;-1;1;2;3;2;1;1
24;2;2022-23;3;2022-08-26;FC Cartagena;6;-1;3;5;5;Zaragoza;22;-1;2;0;0;1;0;1
25;2;2022-23;3;2022-08-27;Sporting de Gijón;19;-1;4;5;2;Burgos CF;4;-1;4;1;0;0;0;0
26;2;2022-23;3;2022-08-27;Lugo;13;-1;1;2;3;Leganés;11;-1;0;1;3;1;0;1
27;2;2022-23;3;2022-08-27;Mirandés;15;-1;1;1;2;Málaga;14;-1;0;0;5;1;3;-2
28;2;2022-23;3;2022-08-27;Levante;12;-1;2;0;0;Tenerife;20;-1;1;2;3;2;0;2
29;2;2022-23;3;2022-08-28;Racing de Santander;18;-1;0;0;4;Oviedo;16;-1;3;1;1;0;1;-1
30;2;2022-23;3;2022-08-28;Eibar;5;-1;4;4;3;Ponferradina;17;-1;6;5;3;1;0;1
31;2;2022-23;3;2022-08-28;Ibiza;9;-1;0;1;4;Alavés;1;-1;6;3;1;1;1;0
32;2;2022-23;3;2022-08-29;Granada;7;-1;6;4;0;Villarreal B;21;-1;4;4;2;3;0;3
33;2;2022-23;3;2022-08-29;Las Palmas;10;-1;4;4;0;Andorra;3;-1;3;2;4;2;0;2
34;2;2022-23;4;2022-09-02;Leganés;11;-1;0;1;4;Eibar;5;-1;7;5;3;2;1;1
35;2;2022-23;4;2022-09-03;Alavés;1;-1;7;4;2;Las Palmas;10;-1;7;6;0;1;1;0
36;2;2022-23;4;2022-09-03;Villarreal B;21;-1;4;4;5;Mirandés;15;-1;1;2;5;3;0;3
